,beds,baths,size,zip_code,price
71,3,2.0,1305.0,98118,714000.0
72,3,2.0,2798.0,98109,1185000.0
73,4,2.0,2100.0,98199,1000000.0
74,3,2.5,1620.0,98117,885000.0
75,1,1.0,801.0,98102,499995.0
76,5,2.0,2180.0,98144,927500.0
77,2,2.0,1025.0,98126,470000.0
78,3,2.5,1830.0,98116,1150000.0
79,3,2.5,1800.0,98126,715000.0
80,3,2.0,2470.0,98105,705000.0
81,2,1.0,2090.0,98103,820000.0
82,1,1.0,661.0,98102,415000.0
83,5,5.0,2440.0,98115,1505000.0
84,3,1.5,1770.0,98168,539000.0
85,3,2.5,1540.0,98107,756000.0
86,5,4.0,3510.0,98199,1735000.0
87,5,3.0,2480.0,98126,845000.0
88,4,2.5,1690.0,98108,399950.0
89,9,6.0,6139.0,98116,2800000.0
90,5,4.0,4770.0,98115,1140000.0
91,2,2.0,1353.0,98115,749000.0
92,3,1.5,1190.0,98108,197009.0
93,5,3.5,4280.0,98102,2300000.0
94,1,1.0,810.0,98108,385000.0
95,3,2.0,1540.0,98108,632500.0
96,3,2.5,1660.0,98146,695000.0
97,3,2.0,1640.0,98136,907500.0
98,2,1.0,1600.0,98117,852500.0
99,4,2.0,1300.0,98146,589950.0
100,2,2.0,1192.0,98117,674800.0
101,2,1.0,720.0,98106,540000.0
102,2,2.0,1171.0,98103,685000.0
103,3,2.5,1390.0,98125,569995.0
104,4,1.5,2260.0,98125,678000.0
105,2,1.0,585.0,98107,430000.0
106,4,2.5,1333.0,98118,476000.0
107,4,1.0,1530.0,98126,565000.0
108,2,1.0,1720.0,98144,619000.0
109,1,1.0,591.0,98121,405000.0
110,2,1.0,839.0,98199,449000.0
111,2,2.0,886.0,98116,640000.0
112,1,1.0,872.0,98107,550000.0
113,4,3.5,2780.0,98146,900000.0
114,3,3.5,1770.0,98107,1025000.0
115,4,2.5,3096.0,98177,1870000.0
116,2,1.0,1750.0,98103,840000.0
117,5,3.0,3110.0,98177,2800000.0
118,1,1.0,608.0,98103,360000.0
119,2,2.0,866.0,98122,543000.0
120,3,2.0,1710.0,98117,1015000.0
121,3,2.0,1250.0,98107,750000.0
122,4,2.0,3195.0,98199,1490000.0
123,7,3.5,3550.0,98199,1850000.0
124,3,1.5,2800.0,98103,1000000.0
125,7,7.0,3580.0,98105,1850000.0
126,3,3.5,1650.0,98107,1050000.0
127,1,1.0,610.0,98119,340000.0
128,4,2.0,2950.0,98199,1200000.0
129,4,3.0,2480.0,98105,1950000.0
130,3,2.0,1600.0,98125,500000.0
131,1,1.0,662.0,98101,685000.0
132,4,2.5,2660.0,98122,1745000.0
133,4,3.0,2960.0,98178,875000.0
134,3,2.5,2060.0,98103,1170000.0
135,3,3.0,1860.0,98119,1260000.0
136,3,1.5,1833.0,98122,985000.0
137,3,2.0,1404.0,98146,449000.0
138,3,3.0,1540.0,98122,900000.0
139,1,1.0,772.0,98121,439000.0
140,4,1.0,2169.0,98118,867000.0
141,3,2.0,1840.0,98136,851000.0
142,3,4.0,2080.0,98133,2250000.0
143,4,3.5,3738.0,98102,3480000.0
144,1,1.0,610.0,98126,425000.0
145,5,2.5,2786.0,98125,900000.0
146,3,1.0,1950.0,98177,562500.0
147,3,1.0,1580.0,98103,704950.0
148,2,1.5,900.0,98133,455000.0
149,3,2.5,1757.0,98103,1155000.0
150,2,2.5,2349.0,98122,1775000.0
151,1,1.0,506.0,98121,396000.0
152,2,2.5,3030.0,98199,2600000.0
153,4,3.5,3760.0,98116,2200000.0
154,2,2.0,840.0,98116,645000.0
155,1,1.0,588.0,98103,335000.0
156,4,2.5,3480.0,98103,2150000.0
157,2,1.5,1065.0,98117,850000.0
158,2,1.5,917.0,98103,625000.0
159,1,1.0,603.0,98121,450000.0
160,1,1.0,704.0,98133,278000.0
161,2,2.5,2140.0,98109,835000.0
162,2,1.5,1059.0,98106,499000.0
163,3,2.0,1500.0,98107,905000.0
164,2,2.0,1271.0,98107,725000.0
165,1,1.0,862.0,98104,430000.0
166,2,1.0,1660.0,98115,822000.0
167,3,2.5,1360.0,98144,719950.0
168,2,2.0,1345.0,98119,700000.0
169,4,3.5,3500.0,98115,1720000.0
170,2,1.0,1070.0,98106,520000.0
171,4,5.5,2867.0,98122,1650000.0
172,4,2.5,2230.0,98115,1475000.0
173,2,1.5,900.0,98133,549755.0
174,3,1.5,1892.0,98112,692500.0
175,2,2.0,921.0,98121,675000.0
176,4,3.0,2580.0,98118,1025000.0
177,3,2.5,2720.0,98103,1450000.0
178,3,3.0,2290.0,98103,1108000.0
179,3,2.5,2750.0,98103,1300000.0
180,3,1.0,1100.0,98108,505000.0
181,5,5.0,2260.0,98115,2100000.0
182,4,3.5,2970.0,98199,2334500.0
183,4,2.0,1840.0,98108,640000.0
184,4,3.0,3510.0,98122,1550000.0
185,2,2.0,916.0,98109,545000.0
186,2,2.0,1162.0,98102,730000.0
187,3,2.0,2330.0,98117,1160000.0
188,1,1.0,848.0,98107,575000.0
189,2,2.0,1320.0,98117,841000.0
190,2,1.0,770.0,98118,250000.0
191,4,3.5,3140.0,98117,1825000.0
192,3,2.0,1360.0,98115,935000.0
193,2,1.0,960.0,98199,515000.0
194,4,1.0,1080.0,98118,565000.0
195,4,3.0,2360.0,98136,1100000.0
196,3,2.0,1550.0,98199,699000.0
197,1,1.0,376.0,98199,1000000.0
198,1,1.0,722.0,98118,299000.0
199,2,1.0,790.0,98103,615000.0
200,3,2.5,1600.0,98103,1150000.0
201,2,2.0,1338.0,98119,700000.0
202,3,1.0,1240.0,98133,715000.0
203,2,2.5,1400.0,98102,1062500.0
204,1,1.0,602.0,98144,374000.0
205,4,3.5,4120.0,98178,1209000.0
206,4,2.0,1780.0,98117,965000.0
207,2,2.0,2270.0,98125,900000.0
208,3,1.5,1550.0,98133,699950.0
209,3,2.0,1281.0,98136,670000.0
210,3,2.5,2760.0,98115,1565000.0
211,2,2.5,2030.0,98136,1200000.0
212,4,2.5,2210.0,98116,1225000.0
213,4,3.5,2023.0,98122,1325000.0
214,1,1.0,589.0,98125,262000.0
215,3,2.5,2710.0,98178,880000.0
216,1,1.0,676.0,98117,355000.0
217,2,1.0,1640.0,98103,740000.0
218,4,2.5,2020.0,98133,903000.0
219,3,3.0,2080.0,98126,819000.0
220,3,3.0,2000.0,98103,990000.0
221,2,1.0,740.0,98126,390000.0
222,2,1.0,987.0,98103,660000.0
223,7,4.0,2540.0,98103,730000.0
224,3,2.5,1690.0,98126,780000.0
225,4,2.5,3190.0,98144,869000.0
226,4,1.0,1610.0,98144,885000.0
227,3,2.5,2130.0,98115,930000.0
228,3,2.5,1480.0,98115,890000.0
229,3,3.5,1430.0,98112,1000000.0
230,1,1.0,782.0,98121,515000.0
231,5,2.0,2800.0,98118,1210000.0
232,4,2.5,3530.0,98115,1100000.0
233,3,2.0,2160.0,98125,720000.0
234,3,2.0,2010.0,98146,850000.0
235,5,3.5,2527.0,98178,1023000.0
236,1,1.0,605.0,98105,270000.0
237,5,3.5,3080.0,98119,2125000.0
238,3,2.5,2963.0,98177,1480000.0
239,3,2.0,1939.0,98119,1450000.0
240,3,1.5,2280.0,98119,1610000.0
241,6,3.0,2870.0,98105,1030000.0
242,6,5.0,3910.0,98108,1300000.0
243,4,3.0,1999.0,98102,1350000.0
244,2,1.5,1388.0,98122,599000.0
245,7,4.0,2670.0,98105,845000.0
246,2,2.0,1810.0,98136,699000.0
247,3,2.5,1681.0,98126,610000.0
248,3,2.5,1512.0,98144,755000.0
249,2,2.0,1090.0,98168,327000.0
250,1,1.0,726.0,98121,448900.0
251,3,2.0,1444.0,98144,750000.0
252,4,2.5,2658.0,98136,1375888.0
253,2,1.5,1200.0,98107,730000.0
254,5,2.5,2280.0,98168,680000.0
255,4,2.5,2750.0,98122,849995.0
256,3,1.5,1650.0,98122,790000.0
257,3,2.5,1546.0,98106,720000.0
258,1,1.0,757.0,98109,432500.0
259,5,3.5,4385.0,98103,3100000.0
260,4,2.0,2868.0,98103,1550000.0
261,2,2.0,1280.0,98136,875000.0
262,3,2.0,1279.0,98118,699000.0
263,4,2.0,2278.0,98117,1550000.0
264,1,1.0,376.0,98199,1000000.0
265,3,2.0,1496.0,98144,843000.0
266,4,1.0,2520.0,98115,875000.0
267,2,2.0,795.0,98102,550000.0
268,3,3.0,2502.0,98117,995000.0
269,5,5.0,2920.0,98105,1625000.0
270,2,2.0,1130.0,98119,775000.0
271,2,2.0,1310.0,98122,815000.0
272,5,4.5,4060.0,98117,2095000.0
273,4,3.5,4460.0,98177,2550000.0
274,4,2.0,2350.0,98118,715000.0
275,2,3.0,1230.0,98144,619990.0
276,4,2.5,2420.0,98117,1310000.0
277,2,2.0,1570.0,98136,760000.0
278,1,1.0,608.0,98121,423000.0
279,3,1.0,1950.0,98103,925000.0
280,4,5.5,4670.0,98144,3175000.0
281,1,1.0,647.0,98122,485000.0
282,3,2.0,1140.0,98136,780000.0
283,3,3.0,2240.0,98117,650000.0
284,2,2.0,1061.0,98125,380000.0
285,4,3.0,1991.0,98102,1050000.0
286,3,2.5,1940.0,98116,1172000.0
287,2,1.5,2340.0,98199,1025000.0
288,4,5.0,1870.0,98146,700000.0
289,1,1.0,707.0,98133,335000.0
290,2,2.5,1114.0,98122,850000.0
291,5,3.0,3540.0,98115,1185000.0
292,4,2.0,2610.0,98117,875000.0
293,2,2.0,1250.0,98115,850000.0
294,3,2.0,1920.0,98126,980000.0
295,3,2.5,1540.0,98103,875000.0
296,3,2.0,1460.0,98117,823000.0
297,2,2.0,1223.0,98199,787950.0
298,3,2.5,2450.0,98126,1080000.0
299,1,1.0,702.0,98116,426000.0
300,5,3.0,2170.0,98106,765000.0
301,2,1.0,1040.0,98103,875000.0
302,4,2.0,1670.0,98125,960000.0
303,4,3.0,2140.0,98126,805000.0
304,3,2.5,1650.0,98103,975000.0
305,2,1.5,735.0,98103,353500.0
306,4,3.5,3210.0,98136,1750000.0
307,4,1.0,2920.0,98107,899888.0
308,4,4.0,1240.0,98125,750000.0
309,4,2.5,2030.0,98144,1025000.0
310,2,1.0,1480.0,98118,675000.0
311,2,2.0,933.0,98112,865000.0
312,1,1.0,777.0,98146,244950.0
313,5,3.0,2869.0,98125,967000.0
314,3,2.0,1700.0,98126,835000.0
315,2,2.0,1024.0,98115,510000.0
316,3,2.5,1550.0,98102,840000.0
317,5,2.5,2460.0,98125,755000.0
318,2,2.0,1170.0,98122,774950.0
319,2,1.0,900.0,98199,750000.0
320,3,2.5,1210.0,98108,565000.0
321,4,3.0,3140.0,98144,1750000.0
322,2,1.0,798.0,98109,370000.0
323,2,2.5,1134.0,98118,520000.0
324,2,2.5,1954.0,98119,1475000.0
325,3,3.5,2946.0,98102,6250000.0
326,1,1.5,1244.0,98164,970000.0
327,3,3.0,1710.0,98133,659000.0
328,3,2.5,1440.0,98117,750000.0
329,3,3.5,1790.0,98144,1027000.0
330,3,2.0,2550.0,98178,650000.0
331,2,2.0,1940.0,98116,1505000.0
332,5,2.0,3080.0,98126,772500.0
333,3,2.0,1561.0,98125,670000.0
334,2,2.0,1316.0,98101,899000.0
335,4,2.5,2610.0,98112,1715000.0
336,3,1.0,960.0,98117,850000.0
337,3,3.0,2280.0,98117,1150000.0
338,2,2.0,1930.0,98144,900000.0
339,2,2.0,1125.0,98115,424950.0
340,3,2.0,1699.0,98121,1299000.0
341,1,1.0,730.0,98115,330000.0
342,7,5.0,4190.0,98115,1513000.0
343,2,2.0,1170.0,98103,600000.0
344,3,1.0,1935.0,98103,895000.0
345,3,2.5,1550.0,98122,1090000.0
346,3,2.5,1290.0,98108,585000.0
347,2,2.0,1202.0,98109,790000.0
348,3,2.5,2420.0,98103,1048000.0
349,4,4.5,2190.0,98122,1499950.0
350,3,2.0,1850.0,98178,627000.0
351,2,1.0,970.0,98125,397500.0
352,2,1.5,918.0,98104,550000.0
353,2,2.0,1080.0,98106,499950.0
354,1,1.0,831.0,98115,415000.0
355,4,2.0,2140.0,98118,825000.0
356,3,2.0,1481.0,98103,1040000.0
357,4,4.0,2630.0,98112,2600000.0
358,4,2.0,1920.0,98118,670000.0
359,3,2.5,1870.0,98125,700000.0
360,5,2.0,2260.0,98168,530000.0
361,3,1.0,1210.0,98106,615000.0
362,3,1.0,3000.0,98108,706000.0
363,3,3.0,1560.0,98106,699950.0
364,1,1.0,684.0,98121,693000.0
365,1,1.0,565.0,98115,297500.0
366,2,2.0,2880.0,98103,1095000.0
367,3,1.0,1240.0,98125,675000.0
368,3,2.5,1468.0,98103,809950.0
369,4,3.5,2500.0,98103,1104000.0
370,3,3.0,2360.0,98115,1210000.0
371,6,4.5,3480.0,98117,2550000.0
372,4,3.5,2199.0,98117,1560000.0
373,3,2.0,1730.0,98168,386000.0
374,3,1.5,2516.0,98119,1020000.0
375,4,4.0,4935.0,98125,1495000.0
376,2,2.0,1168.0,98144,639999.0
377,3,2.5,1604.0,98144,769999.0
378,3,2.5,1786.0,98103,970000.0
379,2,2.0,1174.0,98109,785000.0
380,2,1.0,1180.0,98122,934050.0
381,2,2.0,770.0,98103,170000.0
382,4,2.5,2410.0,98105,2000000.0
383,3,1.5,1920.0,98199,975000.0
384,4,2.5,2610.0,98117,1160000.0
385,4,2.5,2680.0,98199,1800000.0
386,2,2.0,1710.0,98125,710000.0
387,4,3.0,2240.0,98178,840000.0
388,4,3.5,3500.0,98199,2000000.0
389,3,2.0,1703.0,98117,943000.0
390,3,2.0,2600.0,98177,1195000.0
391,3,2.0,1200.0,98107,685000.0
392,1,1.0,696.0,98122,449000.0
393,3,1.0,840.0,98125,610000.0
394,4,2.0,2570.0,98119,1550000.0
395,4,3.0,2480.0,98117,1270000.0
396,4,3.5,2054.0,98103,1165000.0
397,4,2.5,1830.0,98125,1050000.0
398,5,3.5,2750.0,98112,2450000.0
399,3,1.0,1200.0,98125,2100000.0
400,4,3.0,2280.0,98117,1275000.0
401,2,3.0,1660.0,98112,1300000.0
402,4,2.5,3470.0,98102,1100000.0
403,2,2.0,867.0,98115,689000.0
404,1,1.5,801.0,98109,500000.0
405,1,1.0,501.0,98122,386000.0
406,4,3.5,2840.0,98178,720000.0
407,3,3.0,2010.0,98115,925000.0
408,2,2.0,1252.0,98121,1525000.0
409,1,1.0,721.0,98101,389000.0
410,3,2.0,1460.0,98115,731250.0
411,3,2.5,1107.0,98103,877500.0
412,4,1.0,1400.0,98117,1025000.0
413,2,1.0,1437.0,98125,700000.0
414,3,3.0,3004.0,98112,1450000.0
415,1,1.0,700.0,98102,410000.0
416,2,2.0,1122.0,98119,565000.0
417,4,1.5,2344.0,98109,1222000.0
418,4,3.0,2960.0,98108,970000.0
419,2,2.0,1063.0,98109,755000.0
420,1,1.0,674.0,98122,465000.0
421,4,3.5,2510.0,98103,1625000.0
422,2,1.0,680.0,98106,510000.0
423,2,2.0,1450.0,98117,1050000.0
424,1,3.0,934.0,98119,525000.0
425,5,3.0,2400.0,98118,745000.0
426,3,2.5,2740.0,98108,489000.0
427,5,2.0,2000.0,98105,1075000.0
428,2,2.0,1799.0,98117,755000.0
429,3,2.0,1740.0,98199,1425000.0
430,3,1.5,2370.0,98115,927000.0
431,4,3.5,3780.0,98115,1875000.0
432,2,1.5,755.0,98101,500000.0
433,1,1.0,764.0,98105,510000.0
434,3,3.0,2910.0,98125,1249900.0
435,3,3.0,1419.0,98122,861955.0
436,4,2.0,2800.0,98178,675000.0
437,3,1.5,1510.0,98133,725000.0
438,3,2.5,1520.0,98107,975000.0
439,3,2.5,1570.0,98102,955000.0
440,2,2.0,1028.0,98103,700000.0
441,3,2.0,1660.0,98106,805000.0
442,5,3.5,3153.0,98177,2266000.0
443,2,1.0,875.0,98117,750000.0
444,3,2.5,1800.0,98108,655000.0
445,3,2.5,1510.0,98136,880000.0
446,2,2.0,1220.0,98178,585000.0
447,3,2.5,1630.0,98107,1060000.0
448,3,3.5,1319.0,98119,875000.0
449,3,2.5,2695.0,98115,1345000.0
450,3,4.0,3410.0,98125,1702619.0
451,2,2.5,2094.0,98102,1500000.0
452,4,3.5,2380.0,98106,830000.0
453,3,3.5,2938.0,98136,1350000.0
454,2,1.5,1293.0,98115,779950.0
455,3,2.0,2730.0,98117,1150000.0
456,2,1.0,1120.0,98102,1350000.0
457,3,1.0,1280.0,98199,875000.0
458,3,2.5,2350.0,98115,1625000.0
459,1,1.0,692.0,98122,499950.0
460,3,1.5,1350.0,98126,665000.0
461,4,4.0,2895.0,98119,2206500.0
462,4,3.5,4420.0,98199,2350000.0
463,4,2.0,1740.0,98103,950000.0
464,1,1.0,547.0,98125,264000.0
465,3,2.0,1200.0,98178,624950.0
466,3,2.0,1410.0,98115,1035000.0
467,3,1.0,1290.0,98178,412000.0
468,5,4.5,2920.0,98106,1000000.0
469,5,3.0,2310.0,98118,680000.0
470,3,2.5,1810.0,98125,899000.0
471,4,1.5,1410.0,98133,827500.0
472,3,2.0,1800.0,98178,575000.0
473,4,3.0,2860.0,98117,1165000.0
474,2,2.0,2680.0,98126,749950.0
475,4,2.0,1860.0,98103,1350000.0
476,3,2.0,1340.0,98117,985000.0
477,3,1.0,1110.0,98117,505000.0
478,4,3.0,2527.0,98122,1375000.0
479,2,2.5,1057.0,98102,650000.0
480,3,2.5,1054.0,98115,815000.0
481,4,6.5,3400.0,98122,1550000.0
482,4,3.0,2290.0,98146,685000.0
483,4,2.0,2260.0,98106,760000.0
484,3,3.0,2480.0,98146,1595000.0
485,3,1.0,1240.0,98146,220000.0
486,2,2.0,1036.0,98103,799950.0
487,2,1.0,1900.0,98119,1015000.0
488,4,2.5,1544.0,98117,975000.0
489,2,1.0,1160.0,98126,525000.0
490,3,3.0,1650.0,98178,591995.0
491,1,1.0,529.0,98103,367000.0
492,4,3.0,2310.0,98136,1100000.0
493,4,2.5,2880.0,98115,1900000.0
494,1,1.5,540.0,98118,750000.0
495,1,1.0,645.0,98115,515000.0
496,3,2.5,2275.0,98122,1528000.0
497,2,2.5,1250.0,98107,770000.0
498,5,3.5,5420.0,98112,4655625.0
499,2,1.5,1088.0,98117,628000.0
500,5,4.5,5580.0,98146,3800000.0
501,3,2.5,1390.0,98126,575000.0
502,3,2.5,2950.0,98118,3105000.0
503,5,5.0,3010.0,98115,1807000.0
504,3,2.0,1301.0,98103,895000.0
